index,entry_time,exit_time,entry_price,exit_price,profit,return,candle_sticks_held
212,2026-01-09 16:59:59,2026-01-09 20:59:59,91623.89,90303.36,-1320.5299999999988,-1.441250748030889,4
227,2026-01-10 10:59:59,2026-01-10 11:59:59,90828.0,90723.86,-104.13999999999942,-0.11465627339586847,1
250,2026-01-11 09:59:59,2026-01-11 10:59:59,90740.02,90736.67,-3.3500000000058208,-0.0036918660586649867,1
364,2026-01-11 13:59:59,2026-01-16 04:59:59,90849.45,95261.29,4411.8399999999965,4.856209916515727,111
535,2026-01-22 10:59:59,2026-01-23 07:59:59,90078.77,89549.45,-529.320000000007,-0.5876190360947502,21
570,2026-01-24 05:59:59,2026-01-24 18:59:59,89775.2,89395.23,-379.97000000000116,-0.4232460635008345,13
682,2026-01-27 02:59:59,2026-01-29 10:59:59,88831.6,87946.46,-885.1399999999994,-0.9964246957163884,56
812,2026-02-03 00:59:59,2026-02-03 20:59:59,79065.24,76475.52,-2589.720000000001,-3.2754216644381287,20
954,2026-02-07 01:59:59,2026-02-09 18:59:59,70471.49,70418.68,-52.810000000012224,-0.07493810617600426,65
1103,2026-02-13 18:59:59,2026-02-15 23:59:59,69129.99,68832.58,-297.4100000000035,-0.4302184912799835,53
1263,2026-02-20 08:59:59,2026-02-22 15:59:59,67879.99,67684.14,-195.85000000000582,-0.2885239081502602,55
1375,2026-02-25 09:59:59,2026-02-27 07:59:59,65558.71,67690.6,2131.8899999999994,3.2518791172065455,46
1451,2026-03-01 05:59:59,2026-03-02 11:59:59,67292.09,66359.68,-932.4100000000035,-1.385616050861258,30
1540,2026-03-02 16:59:59,2026-03-06 04:59:59,69428.62,70613.61,1184.9900000000052,1.7067745261248248,84
1672,2026-03-09 14:59:59,2026-03-11 16:59:59,69151.5,70570.71,1419.2100000000064,2.0523199062927144,50
1676,2026-03-11 17:59:59,2026-03-11 20:59:59,70785.99,70634.96,-151.02999999999884,-0.21336142928847762,3
1738,2026-03-12 23:59:59,2026-03-14 10:59:59,70541.34,70570.44,29.10000000000582,0.041252406035958235,35
1835,2026-03-15 12:59:59,2026-03-18 11:59:59,71610.33,72952.85,1342.520000000004,1.8747574546856636,71
1920,2026-03-20 22:59:59,2026-03-22 00:59:59,70767.85,68954.71,-1813.1399999999994,-2.562095640887775,26
1999,2026-03-23 18:59:59,2026-03-25 07:59:59,71076.22,70926.88,-149.3399999999965,-0.21011246799562006,37
2027,2026-03-25 13:59:59,2026-03-26 11:59:59,71581.42,69276.01,-2305.4100000000035,-3.2206821267306562,22
2112,2026-03-29 05:59:59,2026-03-30 00:59:59,66771.94,66280.25,-491.6900000000023,-0.7363721946674041,19
2192,2026-03-30 05:59:59,2026-04-02 08:59:59,67492.46,66439.12,-1053.340000000011,-1.5606780372207665,75
2319,2026-04-04 00:59:59,2026-04-07 15:59:59,66893.39,68168.1,1274.7100000000064,1.905584393316001,87
2431,2026-04-08 02:59:59,2026-04-12 07:59:59,71364.94,71665.0,300.0599999999977,0.4204585613047494,101
2513,2026-04-13 22:59:59,2026-04-15 17:59:59,74627.04,74134.95,-492.0899999999965,-0.6593990596437921,43
2591,2026-04-16 03:59:59,2026-04-18 23:59:59,74888.21,75691.76,803.5499999999884,1.0729993412848142,68
2709,2026-04-20 21:59:59,2026-04-23 21:59:59,75954.71,77864.83,1910.1199999999953,2.514814420330214,72
2803,2026-04-26 12:59:59,2026-04-27 19:59:59,77833.08,76878.07,-955.0099999999948,-1.226997569670884,31
2855,2026-04-29 13:59:59,2026-04-29 23:59:59,76783.43,75780.0,-1003.429999999993,-1.3068314348551415,10
3032,2026-05-01 04:59:59,2026-05-07 08:59:59,77042.44,81231.24,4188.800000000003,5.437003293249802,148
3158,2026-05-09 08:59:59,2026-05-12 14:59:59,80407.12,80540.0,132.88000000000466,0.16525899696445373,78
3236,2026-05-14 21:59:59,2026-05-15 20:59:59,81396.61,79123.12,-2273.4900000000052,-2.793101580028954,23
3387,2026-05-20 08:59:59,2026-05-22 03:59:59,77458.04,77779.98,321.9400000000023,0.4156314825420348,43
3491,2026-05-24 07:59:59,2026-05-26 11:59:59,76799.99,77183.55,383.5599999999977,0.4994271483629069,52
3625,2026-05-29 23:59:59,2026-06-01 01:59:59,73460.78,73292.92,-167.86000000000058,-0.2285028827627485,50
3831,2026-06-07 08:59:59,2026-06-09 15:59:59,62855.01,61131.84,-1723.1700000000055,-2.7414998422560197,55
4006,2026-06-11 06:59:59,2026-06-16 22:59:59,62772.0,65780.0,3008.0,4.791945453386861,136
4160,2026-06-20 06:59:59,2026-06-23 08:59:59,63744.61,62385.99,-1358.6200000000026,-2.13134883090508,74
4286,2026-06-27 08:59:59,2026-06-28 14:59:59,60456.0,60033.0,-423.0,-0.6996824136562128,30
4332,2026-06-29 21:59:59,2026-06-30 12:59:59,60479.72,58412.0,-2067.720000000001,-3.4188650344280718,15
4461,2026-07-01 20:59:59,2026-07-05 21:59:59,60126.0,63092.01,2966.010000000002,4.9329907194890765,97
4521,2026-07-05 22:59:59,2026-07-08 09:59:59,63736.0,62057.67,-1678.3300000000017,-2.63325279277018,59
4616,2026-07-09 19:59:59,2026-07-12 08:59:59,63248.1,63983.18,735.0800000000017,1.16221673062116,61
4716,2026-07-14 17:59:59,2026-07-16 12:59:59,64621.43,63966.01,-655.4199999999983,-1.014245583856622,43
